name,handedness,height,weight,avg,HR
Dave Skaggs,Right Handed, 74, 200, 0.241, 3
Dick Ruthven,Right Handed, 75, 190, 0.183, 1
Jerry Garvin,Left Handed, 75, 195, 0.0, 0
Steve Eddy,Right Handed, 74, 185, 0.0, 0
Dave Kingman,Right Handed, 78, 210, 0.236, 442
Eric Soderholm,Right Handed, 71, 187, 0.264, 102
Kevin Mmahat,Left Handed, 77, 220, 0.0, 0
Ed Brinkman,Right Handed, 72, 170, 0.224, 60
Wayne Garrett,Left Handed, 71, 175, 0.239, 61
Tony Muser,Left Handed, 74, 180, 0.259, 7
Jim Siwy,Right Handed, 76, 200, 0.0, 0
Bud Anderson,Right Handed, 75, 210, 0.0, 0
Ted Ford,Right Handed, 70, 180, 0.219, 17
Kevin Stanfield,Left Handed, 72, 190, 0.0, 0
Jim Lyttle,Left Handed, 72, 180, 0.248, 9
John Butcher,Right Handed, 76, 185, 0.0, 0
Jerry Ujdur,Right Handed, 73, 195, 0.0, 0
Scot Thompson,Left Handed, 75, 195, 0.262, 5
Gene Locklear,Left Handed, 70, 165, 0.274, 9
Bo Diaz,Right Handed, 71, 185, 0.255, 87
Bump Wills,Both Handed, 69, 172, 0.266, 36
Brian Denman,Right Handed, 76, 205, 0.0, 0
Pat Putnam,Left Handed, 72, 205, 0.255, 63
Kurt Bevacqua,Right Handed, 72, 180, 0.236, 27
Bob Fallon,Left Handed, 75, 200, 0.0, 0
Syd O'Brien,Right Handed, 73, 185, 0.230, 24
Chris Chambliss,Left Handed, 73, 195, 0.279, 185
Tom Satriano,Left Handed, 73, 185, 0.225, 21
Jeffrey Leonard,Right Handed, 74, 200, 0.266, 144
Dal Maxvill,Right Handed, 71, 157, 0.217, 6
Steve Curry,Right Handed, 78, 217, 0.0, 0
Cesar Tovar,Right Handed, 69, 155, 0.278, 46
Mickey Lolich,Both Handed, 73, 170, 0.110, 0
Ray Chadwick,Both Handed, 74, 180, 0.0, 0
Jack Heidemann,Right Handed, 72, 175, 0.211, 9
Rich Rollins,Right Handed, 70, 185, 0.269, 77
Walt Bond,Left Handed, 79, 228, 0.256, 41
Merv Rettenmund,Right Handed, 70, 190, 0.271, 66
Bryan Clutterbuck,Right Handed, 76, 223, 0.0, 0
Byron Browne,Right Handed, 74, 190, 0.236, 30
Hector Torres,Right Handed, 72, 175, 0.216, 18
Walt Williams,Right Handed, 66, 165, 0.270, 33
Jerry Koosman,Right Handed, 74, 205, 0.119, 2
Steve Lombardozzi,Right Handed, 72, 175, 0.233, 20
Joe Azcue,Right Handed, 72, 190, 0.252, 50
Elliott Maddox,Right Handed, 71, 180, 0.261, 18
Omar Moreno,Left Handed, 74, 180, 0.252, 37
Julian Javier,Right Handed, 73, 175, 0.257, 78
Tony Ferreira,Left Handed, 73, 160, 0.0, 0
Elio Chacon,Right Handed, 69, 160, 0.232, 4
Rusty Torres,Both Handed, 70, 175, 0.212, 35
John Stearns,Right Handed, 72, 185, 0.260, 46
Larry Brown,Right Handed, 70, 160, 0.233, 47
Tommy Dean,Right Handed, 72, 165, 0.180, 4
Bryan Oelkers,Left Handed, 75, 192, 0.0, 0
Kevin Bearse,Left Handed, 74, 195, 0.0, 0
Marty Martinez,Both Handed, 72, 170, 0.243, 0
Bruce Boisclair,Left Handed, 74, 185, 0.263, 10
Ken Singleton,Both Handed, 76, 210, 0.282, 246
Frank White,Right Handed, 71, 165, 0.255, 160
Jim Fairey,Left Handed, 70, 190, 0.235, 7
Jose Roman,Right Handed, 72, 175, 0.0, 0
Tom Brookens,Right Handed, 70, 165, 0.246, 71
Gary Thomasson,Left Handed, 73, 180, 0.249, 61
Mike Trujillo,Right Handed, 73, 180, 0.0, 0
Albert Williams,Right Handed, 76, 190, 0.0, 0
Oswaldo Peraza,Right Handed, 76, 172, 0.0, 0
Otto Velez,Right Handed, 72, 170, 0.251, 78
Tony Scott,Both Handed, 72, 164, 0.249, 17
Ray Oyler,Right Handed, 71, 165, 0.175, 15
Barry Cort,Right Handed, 77, 210, 0.0, 0
Floyd Robinson,Left Handed, 69, 175, 0.283, 67
Steve Jeltz,Both Handed, 71, 180, 0.210, 5
Lou Brock,Left Handed, 71, 170, 0.293, 149
Bill Wilkinson,Right Handed, 70, 160, 0.0, 0
Joe Lovitto,Both Handed, 72, 185, 0.216, 4
Mike Loynd,Right Handed, 76, 210, 0.0, 0
Wayne Comer,Right Handed, 70, 175, 0.229, 16
Dave Collins,Both Handed, 71, 175, 0.272, 32
Ed Spiezio,Right Handed, 71, 180, 0.238, 39
Rico Petrocelli,Right Handed, 72, 175, 0.251, 210
Johnny Lewis,Left Handed, 73, 189, 0.227, 22
Dick Simpson,Right Handed, 76, 176, 0.207, 15
Ken Boswell,Left Handed, 72, 170, 0.248, 31
Ken McMullen,Right Handed, 75, 190, 0.248, 156
Randy Scarbery,Both Handed, 73, 185, 0.0, 0
Steve Swisher,Right Handed, 74, 205, 0.216, 20
Ben Callahan,Right Handed, 79, 230, 0.0, 0
Dick Howser,Right Handed, 68, 155, 0.248, 16
Manny Castillo,Both Handed, 69, 160, 0.242, 3
Mike Ramsey,Both Handed, 73, 170, 0.240, 2
Willie Crawford,Left Handed, 73, 197, 0.268, 86
Bobby Cuellar,Right Handed, 71, 188, 0.0, 0
Willie Norwood,Right Handed, 72, 185, 0.242, 18
Mike Jones,Left Handed, 78, 215, 0.0, 0
Jeff Stone,Left Handed, 72, 175, 0.277, 11
Ramon Manon,Right Handed, 72, 150, 0.0, 0
Joe Lahoud,Left Handed, 73, 198, 0.223, 65
Tim Flannery,Left Handed, 71, 175, 0.255, 9
Dave McKay,Both Handed, 73, 195, 0.229, 21
John Trautwein,Right Handed, 75, 205, 0.0, 0
Andy Replogle,Right Handed, 77, 205, 0.0, 0
Zach Crouch,Left Handed, 75, 180, 0.0, 0
Benny Ayala,Right Handed, 73, 185, 0.251, 38
Ron Romanick,Right Handed, 76, 195, 0.0, 0
Greg Gross,Left Handed, 70, 160, 0.287, 7
Bruce Tanner,Left Handed, 75, 220, 0.0, 0
Sal Butera,Right Handed, 72, 190, 0.227, 8
Jack Brohamer,Left Handed, 70, 165, 0.245, 30
Von Joshua,Left Handed, 70, 170, 0.273, 30
Eddie Milner,Left Handed, 71, 173, 0.253, 42
Johnny Jeter,Right Handed, 73, 180, 0.244, 18
Angel Salazar,Right Handed, 72, 180, 0.212, 2
Tony Oliva,Left Handed, 73, 175, 0.304, 220
Cito Gaston,Right Handed, 75, 190, 0.256, 91
Cookie Rojas,Right Handed, 70, 160, 0.263, 54
Rich Morales,Right Handed, 71, 170, 0.195, 6
Dave Ford,Right Handed, 76, 190, 0.0, 0
Dan Ford,Right Handed, 73, 185, 0.270, 121
Barry Raziano,Both Handed, 70, 175, 0.0, 0
Darryl Motley,Right Handed, 69, 196, 0.243, 44
Ozzie Virgil,Right Handed, 73, 180, 0.243, 98
Johnny Oates,Left Handed, 71, 188, 0.250, 14
Pat Underwood,Left Handed, 72, 175, 0.0, 0
Mike Phillips,Left Handed, 72, 170, 0.240, 11
Ron Santo,Right Handed, 72, 190, 0.277, 342
Jay Johnstone,Left Handed, 73, 175, 0.267, 102
Jim Ray Hart,Right Handed, 71, 185, 0.278, 170
Marc Hill,Right Handed, 75, 205, 0.223, 34
Joel McKeon,Left Handed, 72, 185, 0.0, 0
Danny Fife,Right Handed, 75, 175, 0.0, 0
Chico Salmon,Right Handed, 70, 160, 0.249, 31
Joe Niekro,Right Handed, 73, 185, 0.156, 1
Andy Etchebarren,Right Handed, 73, 190, 0.235, 49
Ken Berry,Right Handed, 72, 175, 0.255, 58
Dave Concepcion,Right Handed, 74, 155, 0.267, 101
Junior Moore,Right Handed, 71, 185, 0.264, 7
Mike Richardt,Right Handed, 72, 170, 0.226, 4
Chris Brown,Right Handed, 72, 185, 0.269, 38
Al Bumbry,Left Handed, 68, 170, 0.281, 54
Al Downing,Right Handed, 71, 175, 0.127, 2
Bob Didier,Both Handed, 72, 190, 0.229, 0
Jake Gibbs,Left Handed, 72, 180, 0.233, 25
Garry Hancock,Left Handed, 72, 175, 0.247, 12
Ed Kranepool,Left Handed, 75, 205, 0.261, 118
Rick Rhoden,Right Handed, 75, 195, 0.238, 9
Denny McLain,Right Handed, 73, 185, 0.133, 1
Chuck Hiller,Left Handed, 71, 170, 0.243, 20
Jorge Orta,Left Handed, 70, 170, 0.278, 130
Dave Cash,Right Handed, 71, 170, 0.283, 21
Bucky Dent,Right Handed, 69, 170, 0.247, 40
Andy Beene,Right Handed, 75, 205, 0.0, 0
Bruce Robbins,Left Handed, 73, 190, 0.0, 0
Tony Gonzalez,Left Handed, 69, 170, 0.286, 103
Leon Hooten,Right Handed, 71, 180, 0.0, 0
Larry Haney,Right Handed, 74, 195, 0.215, 12
Billy Conigliaro,Right Handed, 72, 180, 0.256, 40
Gary Roenicke,Right Handed, 75, 205, 0.247, 121
Don Lock,Right Handed, 74, 195, 0.238, 122
Billy Cowan,Right Handed, 72, 170, 0.236, 40
Billy Smith,Both Handed, 74, 185, 0.230, 17
Allan Ramirez,Right Handed, 70, 180, 0.0, 0
Tony Perez,Right Handed, 74, 175, 0.279, 379
Chuck Schilling,Right Handed, 70, 160, 0.239, 23
Hal McRae,Right Handed, 71, 180, 0.290, 191
Dave Roberts,Right Handed, 75, 215, 0.239, 49
Brian Allard,Right Handed, 73, 175, 0.0, 0
Jim Lefebvre,Both Handed, 72, 180, 0.251, 74
Fernando Arroyo,Right Handed, 74, 180, 0.0, 0
Gary Beare,Right Handed, 76, 205, 0.0, 0
Charlie Spikes,Right Handed, 75, 215, 0.246, 65
Brian Dubois,Left Handed, 70, 165, 0.0, 0
Steve Whitaker,Left Handed, 72, 180, 0.230, 24
Manny Jimenez,Left Handed, 73, 185, 0.272, 26
Chris Batton,Right Handed, 76, 195, 0.0, 0
Duffy Dyer,Right Handed, 72, 187, 0.221, 30
Ken Henderson,Both Handed, 74, 180, 0.257, 122
Vance Lovelace,Left Handed, 77, 205, 0.0, 0
Greg Thayer,Right Handed, 71, 182, 0.0, 0
Vern Fuller,Right Handed, 73, 170, 0.232, 14
Paul Hartzell,Right Handed, 77, 200, 0.0, 0
Wayne Gross,Left Handed, 74, 210, 0.233, 121
Mike Champion,Right Handed, 72, 185, 0.229, 2
Ralph Botting,Left Handed, 72, 195, 0.0, 0
Paul Casanova,Right Handed, 76, 180, 0.225, 50
Steve Rogers,Right Handed, 74, 175, 0.138, 0
Keith Creel,Right Handed, 74, 180, 0.0, 0
Terry Crowley,Left Handed, 72, 180, 0.250, 42
Horace Clarke,Both Handed, 69, 170, 0.256, 27
Lou Clinton,Right Handed, 73, 185, 0.247, 65
Larry Cox,Right Handed, 70, 178, 0.221, 12
Nate Colbert,Right Handed, 74, 190, 0.243, 173
Phil Roof,Right Handed, 74, 190, 0.215, 43
Chuck Hinton,Right Handed, 73, 180, 0.264, 113
Tim Cullen,Right Handed, 73, 185, 0.220, 9
Tim Harkness,Left Handed, 74, 182, 0.235, 14
Rick Bosetti,Right Handed, 71, 185, 0.250, 17
Ron Pruitt,Right Handed, 72, 185, 0.269, 12
George Foster,Right Handed, 73, 180, 0.274, 348
Jerry White,Both Handed, 70, 164, 0.253, 21
Angel Mangual,Right Handed, 70, 178, 0.245, 22
Ken Gerhart,Right Handed, 72, 190, 0.221, 24
Mike Hershberger,Right Handed, 70, 175, 0.252, 26
Jim French,Left Handed, 68, 180, 0.196, 5
Dave Roberts,Left Handed, 75, 195, 0.194, 7
Jim Mason,Left Handed, 74, 185, 0.203, 12
Mike Smith,Right Handed, 75, 180, 0.0, 0
Willie Smith,Left Handed, 72, 182, 0.248, 46
T.R. Bryden,Right Handed, 76, 190, 0.0, 0
Jose Arcia,Right Handed, 75, 170, 0.215, 1
Leon Durham,Left Handed, 73, 185, 0.277, 147
Tom Makowski,Right Handed, 71, 185, 0.0, 0
Paul Householder,Both Handed, 72, 180, 0.236, 29
Aurelio Rodriguez,Right Handed, 70, 180, 0.237, 124
Jimmy Stewart,Both Handed, 72, 165, 0.237, 8
Dick Phillips,Left Handed, 72, 180, 0.229, 12
Andres Thomas,Right Handed, 73, 170, 0.234, 42
Ed Crosby,Left Handed, 74, 175, 0.220, 0
Mike de la Hoz,Right Handed, 71, 175, 0.251, 25
Frank Taveras,Right Handed, 72, 155, 0.255, 2
Joe Nossek,Right Handed, 72, 178, 0.228, 3
Larry Stahl,Left Handed, 72, 175, 0.232, 36
Jose Cruz,Left Handed, 72, 170, 0.284, 165
Don Mason,Left Handed, 71, 160, 0.205, 3
Bill Robinson,Right Handed, 74, 189, 0.258, 166
Jim Umbarger,Left Handed, 78, 200, 0.0, 0
Sal Bando,Right Handed, 72, 195, 0.254, 242
George Mitterwald,Right Handed, 74, 195, 0.236, 76
Mike Darr,Right Handed, 76, 190, 0.0, 0
Craig Robinson,Right Handed, 70, 165, 0.219, 0
Bob Tillman,Right Handed, 76, 205, 0.232, 79
Curt Wardle,Left Handed, 77, 220, 0.0, 0
Pat Corrales,Right Handed, 72, 180, 0.216, 4
Mike Tyson,Right Handed, 69, 170, 0.241, 27
Rafael Landestoy,Both Handed, 70, 165, 0.237, 4
Duane Josephson,Right Handed, 72, 190, 0.258, 23
Duane Walker,Left Handed, 72, 185, 0.229, 24
Glenn Hubbard,Right Handed, 69, 150, 0.244, 70
Roger Freed,Right Handed, 72, 190, 0.245, 22
George Hendrick,Right Handed, 75, 195, 0.278, 267
Rod Carew,Left Handed, 72, 170, 0.328, 92
Bob Davis,Right Handed, 72, 180, 0.197, 6
Toby Harrah,Right Handed, 72, 175, 0.264, 195
Rick Manning,Left Handed, 73, 180, 0.257, 56
Israel Sanchez,Left Handed, 69, 170, 0.0, 0
Steve Burke,Both Handed, 74, 200, 0.0, 0
Gary Matthews,Right Handed, 74, 185, 0.281, 234
Cesar Geronimo,Left Handed, 72, 165, 0.258, 51
Billy Bryan,Left Handed, 76, 200, 0.216, 41
Terry Taylor,Right Handed, 73, 180, 0.0, 0
Terry Whitfield,Left Handed, 73, 197, 0.281, 33
Mario Mendoza,Right Handed, 71, 170, 0.215, 4
Fred Lynn,Left Handed, 73, 185, 0.283, 306
Larry Hisle,Right Handed, 74, 193, 0.273, 166
Graig Nettles,Left Handed, 72, 180, 0.248, 390
Randy Nosek,Right Handed, 76, 215, 0.0, 0
Dave Engle,Right Handed, 75, 210, 0.262, 31
Narciso Elvira,Left Handed, 70, 160, 0.0, 0
Mike Easler,Left Handed, 72, 190, 0.293, 118
Mark Smith,Right Handed, 74, 215, 0.0, 0
Paul Mitchell,Right Handed, 73, 195, 0.0, 0
Rick Sweet,Both Handed, 73, 200, 0.234, 6
Thurman Munson,Right Handed, 71, 190, 0.292, 113
Rick Monday,Left Handed, 75, 193, 0.264, 241
Mike Sadek,Right Handed, 69, 165, 0.226, 5
Mark Belanger,Right Handed, 73, 170, 0.228, 20
Ron Hunt,Right Handed, 72, 186, 0.273, 39
Joe Keough,Left Handed, 72, 185, 0.246, 9
Butch Edge,Right Handed, 75, 203, 0.0, 0
Vic Correll,Right Handed, 70, 185, 0.229, 29
Jackie Hernandez,Right Handed, 71, 165, 0.208, 12
Tony Solaita,Left Handed, 72, 210, 0.255, 50
U L Washington,Both Handed, 71, 175, 0.251, 27
Gary Mielke,Right Handed, 75, 185, 0.0, 0
Rick Henninger,Right Handed, 78, 225, 0.0, 0
Joe Foy,Right Handed, 72, 215, 0.248, 58
Ed Goodson,Left Handed, 75, 180, 0.260, 30
Mark Brown,Both Handed, 74, 190, 0.0, 0
Mickey Klutts,Right Handed, 71, 170, 0.241, 14
Leroy Stanton,Right Handed, 73, 195, 0.244, 77
Rafael Vasquez,Right Handed, 72, 160, 0.0, 0
Len Whitehouse,Left Handed, 71, 175, 0.0, 0
Danny Ainge,Right Handed, 76, 175, 0.220, 2
Adolfo Phillips,Right Handed, 73, 175, 0.247, 59
Marv Breeding,Right Handed, 72, 175, 0.250, 7
Steve Adkins,Right Handed, 78, 210, 0.0, 0
Dick McAuliffe,Left Handed, 71, 176, 0.247, 197
Joe Horlen,Right Handed, 72, 170, 0.134, 0
Glenn Burke,Right Handed, 72, 195, 0.237, 2
Tony Mack,Right Handed, 70, 177, 0.0, 0
Terry Humphrey,Right Handed, 75, 185, 0.211, 6
Bill Moran,Right Handed, 76, 210, 0.0, 0
Enzo Hernandez,Right Handed, 68, 155, 0.224, 2
Cesar Gutierrez,Right Handed, 69, 155, 0.235, 0
Coco Laboy,Right Handed, 70, 165, 0.233, 28
Ted Kubiak,Both Handed, 72, 175, 0.231, 13
Jim Morrison,Right Handed, 71, 175, 0.260, 112
Tom Gilles,Right Handed, 73, 185, 0.0, 0
Bobby Knoop,Right Handed, 73, 170, 0.236, 56
Bobby Brown,Both Handed, 74, 190, 0.245, 26
Tom Hutton,Left Handed, 71, 180, 0.248, 22
Ron Hodges,Left Handed, 73, 185, 0.240, 19
Rich Chiles,Left Handed, 71, 170, 0.254, 6
Tom Paciorek,Right Handed, 76, 215, 0.282, 86
Gary Woods,Right Handed, 74, 185, 0.243, 13
Bob Montgomery,Right Handed, 73, 195, 0.258, 23
Jeff Burroughs,Right Handed, 73, 200, 0.261, 240
Rusty Staub,Left Handed, 74, 190, 0.279, 292
Jim Norris,Left Handed, 70, 175, 0.264, 7
Oscar Gamble,Left Handed, 71, 160, 0.265, 200
Bob Kammeyer,Right Handed, 76, 210, 0.0, 0
George Vukovich,Left Handed, 72, 198, 0.268, 27
Joe Pactwa,Left Handed, 71, 185, 0.0, 0
Craig Reynolds,Left Handed, 73, 175, 0.256, 42
Paul Blair,Right Handed, 72, 168, 0.250, 134
Al Cowens,Right Handed, 73, 197, 0.270, 108
Al Oliver,Left Handed, 72, 195, 0.303, 219
Dave Hilton,Right Handed, 71, 191, 0.213, 6
Luis Alvarado,Right Handed, 69, 162, 0.214, 5
Larry Parrish,Right Handed, 75, 190, 0.263, 256
Woodie Fryman,Right Handed, 75, 197, 0.138, 2
Bob Randall,Right Handed, 74, 175, 0.257, 1
Jim Pankovits,Right Handed, 70, 170, 0.250, 9
Sherman Corbett,Left Handed, 76, 205, 0.0, 0
Carmen Fanzone,Right Handed, 72, 200, 0.224, 20
Gary Allenson,Right Handed, 71, 185, 0.221, 19
Milt May,Left Handed, 72, 190, 0.263, 77
Mike Vail,Right Handed, 73, 180, 0.279, 34
Nick Esasky,Right Handed, 75, 200, 0.250, 122
Jim Nettles,Left Handed, 72, 186, 0.220, 16
Lafayette Currence,Both Handed, 71, 175, 0.0, 0
Chris Cannizzaro,Right Handed, 72, 190, 0.235, 18
Larry Biittner,Left Handed, 74, 205, 0.273, 29
John Pawlowski,Right Handed, 74, 175, 0.0, 0
Mel Stottlemyre,Right Handed, 73, 178, 0.160, 7
Jack Hardy,Right Handed, 74, 175, 0.0, 0
Ron Musselman,Right Handed, 74, 185, 0.0, 0
Roy Smalley,Both Handed, 73, 185, 0.257, 163
Tony Chevez,Right Handed, 71, 177, 0.0, 0
Andy Messersmith,Right Handed, 73, 200, 0.170, 5
Richie Zisk,Right Handed, 73, 200, 0.287, 207
Dave Chalk,Right Handed, 70, 175, 0.252, 15
Don Baylor,Right Handed, 73, 190, 0.260, 338
John Vukovich,Right Handed, 73, 187, 0.161, 6
Danny Thompson,Right Handed, 72, 183, 0.248, 15
Joe Simpson,Left Handed, 75, 175, 0.242, 9
Bill Fahey,Left Handed, 72, 200, 0.241, 7
Doug Camilli,Right Handed, 71, 195, 0.199, 18
Bernie Allen,Left Handed, 72, 175, 0.239, 73
Bruce Bochy,Right Handed, 75, 205, 0.239, 26
Gary Ignasiak,Right Handed, 71, 185, 0.0, 0
Claudell Washington,Left Handed, 72, 190, 0.278, 164
John Donaldson,Left Handed, 71, 160, 0.238, 4
Mike Smithson,Left Handed, 80, 215, 0.0, 0
John Mayberry,Left Handed, 75, 215, 0.253, 255
Ken Reitz,Right Handed, 72, 180, 0.260, 68
Amos Otis,Right Handed, 71, 165, 0.277, 193
Gene Alley,Right Handed, 70, 160, 0.254, 55
Ted Sizemore,Right Handed, 70, 165, 0.262, 23
Dan Briggs,Left Handed, 72, 180, 0.195, 12
Joe Skalski,Right Handed, 75, 190, 0.0, 0
Doug Flynn,Right Handed, 71, 165, 0.238, 7
Bert Bradley,Both Handed, 73, 190, 0.0, 0
Ken Holtzman,Right Handed, 74, 175, 0.163, 2
Pete Ward,Left Handed, 73, 185, 0.254, 98
Kevin Bell,Right Handed, 72, 195, 0.222, 13
Tom Nieto,Right Handed, 73, 193, 0.205, 5
Duke Sims,Left Handed, 74, 197, 0.239, 100
Larvell Blanks,Right Handed, 68, 167, 0.253, 20
Francisco Barrios,Right Handed, 71, 155, 0.0, 0
Mike Davis,Left Handed, 74, 175, 0.259, 91
Jerry Reuss,Left Handed, 77, 200, 0.167, 1
Steve Yeager,Right Handed, 72, 190, 0.228, 102
Danny Goodwin,Left Handed, 73, 195, 0.236, 13
Bud Harrelson,Both Handed, 71, 160, 0.236, 7
Bob Knepper,Left Handed, 75, 195, 0.137, 6
Mickey Rivers,Left Handed, 70, 165, 0.295, 61
Jim Northrup,Left Handed, 75, 190, 0.267, 153
John Hale,Left Handed, 74, 195, 0.201, 14
Reggie Ritter,Left Handed, 74, 195, 0.0, 0
Pedro Garcia,Right Handed, 70, 175, 0.220, 37
Carl Yastrzemski,Left Handed, 71, 175, 0.285, 452
Bob Babcock,Right Handed, 77, 210, 0.0, 0
Craig Eaton,Right Handed, 71, 175, 0.0, 0
Derrel Thomas,Both Handed, 72, 160, 0.249, 43
Art Howe,Right Handed, 74, 190, 0.260, 43
Ike Brown,Right Handed, 72, 190, 0.256, 20
Howie Goss,Right Handed, 76, 204, 0.216, 11
Glenn Borgmann,Right Handed, 76, 210, 0.229, 16
Lamar Johnson,Right Handed, 74, 215, 0.287, 64
Julio Gonzalez,Right Handed, 71, 162, 0.235, 4
Bobby Klaus,Right Handed, 70, 170, 0.208, 6
Manny Sanguillen,Right Handed, 72, 193, 0.296, 65
Gates Brown,Left Handed, 71, 220, 0.257, 84
Johnny Ray,Both Handed, 71, 170, 0.290, 53
Jesus Alou,Right Handed, 74, 190, 0.280, 32
Ken Landreaux,Left Handed, 70, 165, 0.268, 91
Enos Cabell,Right Handed, 76, 170, 0.277, 60
Roy Branch,Right Handed, 72, 175, 0.0, 0
Billy North,Both Handed, 71, 185, 0.261, 20
Juan Beniquez,Right Handed, 71, 150, 0.274, 79
Frank Fernandez,Right Handed, 72, 185, 0.199, 39
Bombo Rivera,Right Handed, 70, 187, 0.265, 10
Steve Brye,Right Handed, 72, 190, 0.258, 30
Ron Jackson,Right Handed, 72, 200, 0.259, 56
Roger Metzger,Both Handed, 72, 165, 0.231, 5
Rufino Linares,Right Handed, 72, 170, 0.270, 11
Ray Webster,Left Handed, 72, 185, 0.244, 17
Bob Kearney,Right Handed, 72, 190, 0.233, 27
Fergie Jenkins,Right Handed, 77, 205, 0.165, 13
Dick Dietz,Right Handed, 73, 195, 0.261, 66
Ted Cox,Right Handed, 75, 195, 0.245, 10
Bobby Mitchell,Left Handed, 70, 170, 0.243, 3
Bobby Mitchell,Right Handed, 75, 185, 0.235, 21
Barry Evans,Right Handed, 73, 180, 0.251, 2
Mickey Brantley,Right Handed, 70, 180, 0.259, 32
Al Gallagher,Right Handed, 72, 180, 0.263, 11
Rob Woodward,Right Handed, 75, 185, 0.0, 0
Hector Cruz,Right Handed, 71, 170, 0.225, 39
Fred Norman,Both Handed, 68, 155, 0.125, 0
Woody Woodward,Right Handed, 74, 180, 0.236, 1
Ted Martinez,Right Handed, 72, 165, 0.240, 7
Jim Anderson,Right Handed, 72, 170, 0.218, 13
Lenn Sakata,Right Handed, 69, 160, 0.230, 25
Dave Duncan,Right Handed, 74, 190, 0.214, 109
Randy Jones,Right Handed, 72, 178, 0.132, 0
Dick Billings,Right Handed, 73, 195, 0.227, 16
Bob Veselic,Right Handed, 72, 175, 0.0, 0
Bruce Bochte,Left Handed, 75, 195, 0.282, 100
Bernie Carbo,Left Handed, 71, 173, 0.264, 96
Vic Davalillo,Left Handed, 67, 150, 0.279, 36
Burt Hooton,Right Handed, 73, 210, 0.123, 4
Chuck Hockenbery,Both Handed, 73, 195, 0.0, 0
Bob Ferris,Right Handed, 78, 225, 0.0, 0
Fernando Gonzalez,Right Handed, 70, 165, 0.235, 17
Jim Sundberg,Right Handed, 72, 190, 0.248, 95
Andy Kosco,Right Handed, 75, 205, 0.236, 73
Steve Huntz,Both Handed, 73, 204, 0.206, 16
Gary Wheelock,Right Handed, 75, 205, 0.0, 0
Lenny Faedo,Right Handed, 72, 170, 0.251, 5
John Lowenstein,Left Handed, 72, 175, 0.253, 116
Don Kessinger,Both Handed, 73, 170, 0.252, 14
Joe Hague,Left Handed, 72, 195, 0.239, 40
Bake McBride,Left Handed, 74, 190, 0.299, 63
Dick Davis,Right Handed, 75, 190, 0.265, 27
Richie Scheinblum,Both Handed, 73, 180, 0.263, 13
Ed Herrmann,Left Handed, 73, 195, 0.240, 80
Mike Rochford,Left Handed, 76, 205, 0.0, 0
Jeff Schneider,Both Handed, 75, 195, 0.0, 0
Bob Molinaro,Left Handed, 72, 190, 0.264, 14
Mike Hegan,Left Handed, 73, 188, 0.242, 53
Mike Diaz,Right Handed, 74, 195, 0.247, 31
Tim Foli,Right Handed, 72, 179, 0.251, 25
Alan Knicely,Right Handed, 72, 190, 0.213, 12
